group_slug,group_name,n_members_Jan-19,n_members_Feb-11,users/day_Jan-19_to_Feb-11,users/day_Dec_to_Jan-19,percent_change
1003058063051602,Last Week Tonight with John Oliver,50000,50368,16.73,20.41,-0.1804
196825617434365,Dan Bongino Fans,9100,9223,5.59,85.71,-0.9348
206779539732204,Trey Gowdy: The Legend with Great Hair,136000,135804,-8.91,-20.41,-0.5635
2601769136807206,Candace Owens 2024 🇺🇸,45000,46809,82.23,244.90,-0.6642
264505438307329,Joe BIDEN POTUS 46 Official,20000,22812,127.82,166.67,-0.2331
2645436679003881,Steve Schmidt fan club,56000,56397,18.05,40.82,-0.5579
276509750213182,Kayleigh McEnany Fan Club,443000,449979,317.23,448.98,-0.2934
2809700542644044,Official Kayleigh McEnany page! No spam or trolls allowed this time!,31000,31468,21.27,40.82,-0.4788
2929509290482541,PRESIDENT JOE BIDEN 2021,9100,11203,95.59,184.38,-0.4815
325137702138135,Watch the Trump family move out of the White House,19000,20823,82.86,1250.00,-0.9337
358349921385450,Alexandria Ocasio-Cortez for President in 2024,30000,29937,-2.86,21.74,-1.1317
850038505482016,Real Time with Bill Maher Group,7100,7289,8.59,20.41,-0.5790
947518145661250,"Candace Owens For POTUS, 2024",59000,60000,45.45,61.22,-0.2576
IvankaTrumpForPresident,Ivanka Trump For President,19000,20318,59.91,128.21,-0.5327
alexandriaocasiocortezfanclub,Alexandria Ocasio-Cortez Fan Club,47000,47537,24.41,40.82,-0.4020
thepartyoftrump,The Party of Trump,57000,109277,2376.23,2571.43,-0.0759
