collection_datetime,group_slug,n_user_recommend,group_name,n_members
2020-12-01,1003058063051602,3,Last Week Tonight with John Oliver,49000.0
2020-12-01,1655614634580136,7,Rudy Giuliani [Common Sense],1700.0
2020-12-01,178197966731647,17,Tucker Carlson Fox News,46000.0
2020-12-01,1966251680095271,5,Blaze TV Fan Page,16000.0
2020-12-01,196825617434365,7,Dan Bongino Fans,4900.0
2020-12-01,206779539732204,3,Trey Gowdy: The Legend with Great Hair,137000.0
2020-12-01,244810819884729,3,Amy Klobuchar: Progress for America!,7300.0
2020-12-01,2546623112253553,3,Trump Cartoons & Jokes,2000.0
2020-12-01,2597851357120947,7,Joe Biden For President 2020!,61000.0
2020-12-01,2601769136807206,11,Candace Owens 2024 🇺🇸,33000.0
2020-12-01,2645436679003881,11,Steve Schmidt fan club,54000.0
2020-12-01,276509750213182,16,Kayleigh McEnany Fan Club,421000.0
2020-12-01,2809700542644044,10,Official Kayleigh McEnany page! No spam or trolls allowed this time!,29000.0
2020-12-01,318189155396765,4,#MAGASM (Laughing at Leftists),84000.0
2020-12-01,347486906381131,8,Joe Biden lovers,11000.0
2020-12-01,387158605653732,4,Women for Trump,19000.0
2020-12-01,458226781793015,4,Project Lincoln,100000.0
2020-12-01,540034209975584,14,Dr. Fauci Fan Club,48000.0
2020-12-01,589470521442457,9,Barack Obama Fan Club,320000.0
2020-12-01,611873672624975,4,Political Humor,9700.0
2020-12-01,675682982609218,4,Trey Gowdy for President 2024,37000.0
2020-12-01,696410211155601,9,Kayleigh McEnany Supporters and Fans,59000.0
2020-12-01,729428207525540,5,Dan Crenshaw for POTUS 2024,106000.0
2020-12-01,850038505482016,4,Real Time with Bill Maher Group,6100.0
2020-12-01,863804630824684,6,Patriot Room (formerly Leo Terrell 2.0),15000.0
2020-12-01,947518145661250,17,"Candace Owens For POTUS, 2024",56000.0
2020-12-01,alexandriaocasiocortezfanclub,3,Alexandria Ocasio-Cortez Fan Club,45000.0
2020-12-02,1067490273302351,3,MY VOTES FOR TRUMP - KEEP AMERICA GREAT,26000.0
2020-12-02,107780406719749,3,Ben Shapiro Fans,18000.0
2020-12-02,1655614634580136,9,Rudy Giuliani [Common Sense],1800.0
2020-12-02,178197966731647,11,Tucker Carlson Fox News,46000.0
2020-12-02,196825617434365,4,Dan Bongino Fans,5000.0
2020-12-02,206779539732204,3,Trey Gowdy: The Legend with Great Hair,137000.0
2020-12-02,2098968433466112,4,Trump Daily Report,111000.0
2020-12-02,2135706109975817,3,Donald Trump 2020 our decision,6600.0
2020-12-02,2363529640618134,5,Lincoln Project Americans Protecting Democracy,32000.0
2020-12-02,2597851357120947,7,Joe Biden For President 2020!,61000.0
2020-12-02,2601769136807206,4,Candace Owens 2024 🇺🇸,33000.0
2020-12-02,264505438307329,4,Joe BIDEN POTUS 46 Official,12000.0
2020-12-02,2645436679003881,14,Steve Schmidt fan club,54000.0
2020-12-02,2658044477648470,5,Victor Davis Hanson Fan Club,53000.0
2020-12-02,2717207004996598,4,INFOWAR FANS,2000.0
2020-12-02,2755029031187050,3,People who support the Democrats for president in the U.S.A,16000.0
2020-12-02,276509750213182,20,Kayleigh McEnany Fan Club,421000.0
2020-12-02,2809700542644044,5,Official Kayleigh McEnany page! No spam or trolls allowed this time!,29000.0
2020-12-02,318189155396765,4,#MAGASM (Laughing at Leftists),84000.0
2020-12-02,347486906381131,9,Joe Biden lovers,10000.0
2020-12-02,387158605653732,4,Women for Trump,19000.0
2020-12-02,437806580093639,5,BidenHarris2020,16000.0
2020-12-02,458226781793015,4,Project Lincoln,100000.0
2020-12-02,540034209975584,15,Dr. Fauci Fan Club,48000.0
2020-12-02,542145203106828,5,The Liberal Skeptic's Dank Meme Stash,13000.0
2020-12-02,571811876496398,3,RealTime With Bill Maher,59000.0
2020-12-02,589470521442457,11,Barack Obama Fan Club,320000.0
2020-12-02,611873672624975,3,Political Humor,9700.0
2020-12-02,675682982609218,4,Trey Gowdy for President 2024,37000.0
2020-12-02,696410211155601,5,Kayleigh McEnany Supporters and Fans,59000.0
2020-12-02,729428207525540,3,Dan Crenshaw for POTUS 2024,106000.0
