,n_political_groups_recommended
2020-12-01,27
2020-12-02,38
2020-12-03,35
2020-12-04,31
2020-12-05,41
2020-12-06,41
2020-12-07,31
2020-12-08,38
2020-12-09,39
2020-12-10,36
2020-12-11,37
2020-12-12,42
2020-12-13,32
2020-12-14,27
2020-12-15,31
2020-12-16,37
2020-12-17,30
2020-12-18,31
2020-12-19,25
2020-12-20,23
2020-12-21,20
2020-12-22,26
2020-12-23,24
2020-12-24,26
2020-12-25,23
2020-12-26,22
2020-12-27,23
2020-12-28,21
2020-12-29,37
2020-12-30,37
2020-12-31,33
2021-01-01,33
2021-01-02,29
2021-01-03,35
2021-01-04,35
2021-01-05,33
2021-01-06,32
2021-01-07,28
2021-01-08,33
2021-01-09,26
2021-01-10,20
2021-01-11,24
2021-01-12,22
2021-01-13,25
2021-01-14,22
2021-01-15,31
2021-01-16,28
2021-01-17,21
2021-01-18,26
2021-01-19,25
2021-01-20,2
2021-01-21,0
2021-01-22,0
2021-01-23,1
2021-01-24,1
2021-01-25,1
2021-01-26,1
2021-01-27,1
2021-01-28,1
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
